New standards or amendments,Effective for annual period beginning or after
• Onerous Contracts - Cost of Fulfilling a Contract (Amendments to IAS 37),1 January 2022
• Annual Improvements to IFRS Standards 2018-2020,1 January 2022
"• Property, Plant and Equipment: Proceeds before Intended Use (Amendments to IAS 16)",1 January 2022
• Reference to the Conceptual Framework (Amendments to IFRS 3),1 January 2022
• IFRS 17 Insurance Contracts and amendments to IFRS 17 Insurance Contracts,1 January 2023
• Classification of Liabilities as current or non-current (Amendments IAS 1),1 January 2023
• Disclosure of Accounting Policy (Amendments to IAS 1 and IFRS Practice Statement 2,1 January 2023
• Definition of Accounting Estimate (Amendments to IAS 8),1 January 2023
"• Deferred Tax Related to Assets and Liabilities Arising from a Single Transaction –
Amendments to IAS 12 Income Taxes",1 January 2023
"• Sale or Contribution of Assets between an Investor and its Associate or Company
(Amendments to IFRS 10 and IAS 28).",1 January 2022 (Optional)
