Column,Year ended 31 December 2020,Column,Column,Column
,Name,"Salary
Kes.","Meeting attendance fees
Kes.","Total
Kes."
1.,Mike Robert Karanja - Chairman,-,"300,000.00","300,000.00"
2.,Robert Muchoki,-,"885,000.00","885,000.00"
3.,Stephen Gichohi,-,"995,000.00","900,000.00"
4.,Peter Nduati,-,"600,000.00","900,000.00"
5.,Peter Mungai,-,"750,000.00","750,000.00"
6.,Anne Muchoki,-,"225,000.00","900,000.00"
7.,Michael Matimu,-,"225,000.00","900,000.00"
,TOTAL,-,"3,980,000.00","3,980,000.00"
,Year ended 31 December 2019,,,
,Name,"Salary
Kes.","Meeting attendance fees
Kes.","Total
Kes."
1.,Mike Robert Karanja - Chairman,-,"1,200,000.00","1,200,000.00"
2.,Robert Muchoki,-,"900,000.00","900,000.00"
3.,Stephen Gichohi,-,"900,000.00","900,000.00"
4.,Linus Gitahi,-,"900,000.00","900,000.00"
5.,Anne Muchoki,-,"900,000.00","900,000.00"
6.,Michael Matimu,-,"900,000.00","900,000.00"
,TOTAL,-,"5,700,000.00","5,700,000.00"
