Names,Number of shares held,% Shareholding
Aga Khan Fund for Economic Development,"27,528,739",37.98%
Pyrus Investments Limited,"7,682,480",10.60%
Stanbic Nominees Ltd. A/c NR3530153-1,"2,405,923",3.32%
Freight Forwarders Limited,"1,625,205",2.24%
United Housing Estates Limited,"1,314,947",1.81%
Adam’s Brown and Company Limited,"1,294,830",1.79%
Investments & Mortgages Nominees Limited A/c 003746,"402,350",0.56%
Investments & Mortgages Nominees Limited A/c 003745,"402,350",0.56%
Gulshan Noorali Sayani,"362,507",0.50%
Standard Chartered Nominees Non-resd. A/c KE10085,"346,437",0.48%
Total top 10 largest shareholders,"43,365,768",59.84%
Others,"29,107,182",40.16%
TOTAL,"72,472,950",100%
