Names,Number of shares held,% Shareholding
Aga Khan Fund for Economic Development,"27,528,739",37.98%
Pyrus Investments Limited,"7,682,480",10.60%
Stanbic Nominees Ltd. A/c NR3530153-1,"2,405,923",3.32%
Freight Forwarders Limited,"2,037,235",2.81%
United Housing Estates Limited,"1,314,947",1.81%
Adam’s Brown and Company Limited,"1,294,830",1.79%
Standard Chartered Kenya Nominees Ltd A/c 133935500055,"418,000",0.58%
Investments & Mortgages Nominees Limited A/c 003746,"402,350",0.56%
Investments & Mortgages Nominees Limited A/c 003745,"402,350",0.56%
Gulshan Noorali Sayani,"362,507",0.50%
Others,"28,623,589",39.49%
Total,"72,472,950",100%
